"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"onboard_welcome_screen|1"	"Hello there!\nI am Professor Willow."	"やぁ、こんにちは。\nわたしはウィロー博士だ。"	"Bonjour !\nJe suis le Professeur Willow."	"¡Hola!\nSoy el Profesor Willow."	"Hallöchen!\nIch bin Prof. Willow."	"Ciao!\nIo sono il Professor Willow."	"안녕.\n 난 윌로우박사라네."	"你好！\n我是維羅博士。"	"Olá!\nSou Professor Willow."
"onboard_welcome_screen|2"	"Did you know that this world is inhabited by creatures known as Pokémon?"	"この世界には、ポケモンと呼ばれる不思議な生き物がすんでいるのは知っているかな？"	"Savais-tu que notre terre est habitée par des créatures appelées Pokémon ?"	"¿Sabías que este mundo está habitado por criaturas llamadas Pokémon?"	"Wusstest du, dass diese Welt von Wesen bevölkert wird, die man Pokémon nennt?"	"Lo sapevi che questo mondo è abitato da creature chiamate Pokémon?"	"이 세상에는 포켓몬이라고 불리는 신비한 생명체가 사는 걸 알고 있나?"	"你知道這世上有種叫做寶可夢的奇妙生物嗎？"	"Sabia que este mundo é habitado por criaturas conhecidas como Pokémon?"
"onboard_welcome_screen|3"	"Pokémon can be found in every corner of the earth."	"ポケモンはあちこちにいて、"	"Les Pokémon se trouvent partout sur notre planète."	"Se pueden encontrar Pokémon en todas partes."	"Pokémon findet man überall auf dem Globus."	"Puoi trovarne in ogni angolo del globo."	"포켓몬은 여기 저기에 있어"	"世界上到處都可以找到寶可夢。"	"Pokémon podem ser encontrados em todo canto."
"onboard_welcome_screen|4"	"Some run across the plains, others fly through the skies, some live in the mountains, or in the forests, or near water…"	"走り回るもの、空を飛ぶもの、山や森、水辺にすむもの……"	"Certains vivent dans les plaines, d’autres sillonnent les cieux, et d’autres encore parcourent les montagnes, les forêts ou les lacs..."	"Algunos corren por el campo, otros vuelan por el cielo, algunos viven en la montaña, otros en el bosque y otros cerca del agua..."	"Manche von ihnen leben auf dem Land, andere in der Luft und wieder andere im Wasser ..."	"Alcuni corrono liberi nelle valli, altri volano in alto nei cieli e poi ci sono quelli che dimorano sulle montagne, nelle foreste e in prossimità dell'acqua."	"달리는 것, 하늘을 나는 것, 산이나 숲, 물가에 사는 것....."	"有些在地上奔跑，有些在天空中飛翔，有些棲息在水邊、山林裡……"	"Alguns correm por campos, outros voam pelo céu, alguns vivem em montanhas, outros em florestas ou perto d’água…"
"onboard_welcome_screen|5"	"I have spent my whole life studying them and their geography."	"わたしは、かれらの生態と分布についての研究をしてるんだ！"	"J’ai passé ma vie à les étudier et à m’intéresser à leur migration."	"He pasado toda mi vida estudiándolos y analizando su distribución geográfica."	"Mein ganzes Leben lang habe ich sie und ihre regionale Verbreitung studiert."	"Ho trascorso la mia vita a studiarli e a comprenderne la distribuzione geografica."	"나는 그 생태와 분포에 대해서 연구하고 있다네!"	"我這輩子都在研究牠們的生態和分布狀況。"	"Passei minha vida estudando eles e sua distribuição geográfica."
"onboard_welcome_screen|6"	"Will you help me with my research?"	"きみもわたしの研究を手伝ってくれないか？"	"Tu veux bien m’aider dans mes recherches ?"	"¿Puedes ayudarme con mi investigación?"	"Hilfst du mir bei meinen Forschungen?"	"Che ne dici di darmi una mano nella mia ricerca?"	"너도 내 연구를 도와주지 않을래?"	"你願意跟我一起做研究嗎？"	"Poderia me ajudar com minha pesquisa?"
"onboard_welcome_screen|7"	"That’s great!"	"ありがたい！ニャースの手も借りたいと思っていたところだ。"	"Super !"	"¡Genial!"	"Fantastisch! Genau nach jemandem wie dir habe ich gesucht!"	"Ottimo! Ero appunto alla ricerca di un aiutante."	"고맙군! 나옹 손이라도 빌리고 싶을 정도였어."	"太棒了！你就是我要找的人！"	"Maravilha!"
"onboard_welcome_screen|8"	"You’ll need to find and collect Pokémon from everywhere."	"きみには世界中を探検し、ポケモンを捕まえて報告してほしい！"	"Tu dois trouver et collectionner des Pokémon du monde entier."	"¡Tendrás que encontrar y coleccionar Pokémon de todas partes!"	"Deine Aufgabe besteht darin, überall Pokémon zu suchen und zu sammeln!"	"Non dovrai far altro che trovare e catturare Pokémon in giro per il mondo!"	"너는 전 세계를 탐험하고 포켓몬을 잡아서 보고해줘!"	"請你去世界各地收集寶可夢！"	"Você terá que achar e colecionar Pokémon de todas as partes."
"onboard_welcome_screen|9"	"Choose your style to start your adventure!"	"さて、どんなスタイルで出かけるのかな？"	"Choisis ton style pour ces nouvelles aventures."	"Ahora, elige el estilo que quieres para tu aventura."	"Wähle jetzt deinen Look für dein Abenteuer aus."	"Ora, scegli un look per la tua avventura."	"자, 어떤 스타일로 외출할래?"	"選擇你的探險裝備吧。"	"Escolha um estilo para a sua aventura."
"first_time_encounter|1"	"There’s a Pokémon nearby!"	"近くにポケモンがいるぞ！"	"Il y a un Pokémon pas loin !"	"¡Hay un Pokémon cerca!"	"Es befindet sich ein Pokémon in der Nähe!"	"C'è un Pokémon nei dintorni!"	"가까이에 포켓몬이 있어!"	"附近就有寶可夢！"	"Há um Pokémon por perto!"
